Community District,boro_cd,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019,mean_2020,mean_2021
Financial District,101,30.3,28.9,26.7,26.3,25.9,25.3,24.3,21.7,21.6
Greenwich Village and Soho,102,29.3,28.1,26.3,25.9,25.7,24.8,23.4,21.3,21.2
Lower East Side and Chinatown,103,26.6,25.7,24.3,24,23.6,22.4,21.2,19.4,19.3
Clinton and Chelsea,104,30.6,29.2,27.2,26.7,26.6,25.7,24.6,22.5,22.3
Midtown,105,24.7,37.1,32.9,31.6,32,31.1,28.5,26.3,25.2
Stuyvesant Town and Turtle Bay,106,22.2,32.2,29.3,28.4,28.4,26.6,24.5,22.6,22.1
Upper West Side,107,22.9,25.1,23.8,23.1,23.4,22.2,20.8,19.6,19.2
Upper East Side,108,21.3,27.8,25.8,24.9,25.1,23.5,22.2,20.9,20.4
Morningside Heights and Hamilton Heights,109,22.3,23.6,22.9,22,22.4,21.5,19.2,18.6,18
Central Harlem,110,24,24,23.2,22.3,22.7,21.7,19.8,19.1,18.3
East Harlem,111,23.9,23.6,22.9,22.1,22.3,20.9,19.4,18.8,18.3
Washington Heights and Inwood,112,21.9,20.6,20.7,19.4,20.1,19.3,16.9,17.9,16.9
Mott Haven and Melrose,201,21.5,22.1,21.8,20.8,21.2,21.2,19.7,19.1,18.7
Hunts Point and Longwood,202,18.2,21,20.8,19.8,20.3,20.4,19,18.8,19.3
Morrisania and Crotona,203,19.9,21.6,21.4,20.1,20.8,19.8,17.8,18.1,17.3
Highbridge and Concourse,204,19,22.7,22.4,21.2,21.8,20.9,18.7,19,18.1
Fordham and University Heights,205,18,22.7,22.7,21.2,22,20.5,18.2,19.1,18.1
Belmont and East Tremont,206,22.9,21.4,21.4,19.9,20.7,19.2,17.1,18.2,17.4
Kingsbridge Heights and Bedford,207,24.2,20.7,20.9,19.1,20.3,18.4,16.2,17.9,16.9
Riverdale and Fieldston,208,22.8,17.1,17.8,16,17.3,15.8,13.5,15.8,14.7
Parkchester and Soundview,209,21.7,20.2,20.1,18.8,19.5,17.9,16.4,16.9,16.6
Throgs Neck and Co-op City,210,19.8,18.5,18.8,17.2,18.1,15.8,14.6,15.5,15.4
Morris Park and Bronxdale,211,22.7,19.4,19.6,17.9,19,17.1,15.5,16.8,16.3
Williamsbridge and Baychester,212,20.7,18.3,19,16.9,18.4,15.8,14.2,16.5,15.6
Greenpoint and Williamsburg,301,22.8,22.4,21.7,21.4,21.1,22.1,21.5,19.7,20.7
Fort Greene and Brooklyn Heights,302,22.1,23.4,22.4,22.2,21.7,21.1,19.9,18.4,18.8
Bedford Stuyvesant,303,19,22.2,21.3,20.8,20.6,20,18.4,17.5,17.9
Bushwick,304,20.5,21.2,20.3,19.8,19.8,19.5,18.2,17.5,17.5
East New York and Starrett City,305,15.1,19.3,18.7,17.8,17.9,17.2,15.4,15.5,15.9
Park Slope and Carroll Gardens,306,19.8,22,21.4,21.2,20.6,21.2,20.1,18.2,18.6
Sunset Park,307,16.8,20.3,19.8,19.4,19,19.8,18.5,16.9,18.1
Crown Heights and Prospect Heights,308,21.4,22.2,21.3,20.7,20.5,19.9,18.2,17.3,17.5
South Crown Heights and Lefferts Gardens,309,20.7,21.7,20.8,20.1,19.9,19.1,17.4,16.9,17
Bay Ridge and Dyker Heights,310,16.7,19.6,19.2,18.5,18.2,17.7,16.4,15.2,16.4
Bensonhurst,311,21.4,19.7,19.1,18,18.1,17.1,15.9,15.4,16.4
Borough Park,312,22.1,20.6,19.9,19.1,19,18.5,17,16.2,16.9
Coney Island,313,21.6,16.6,16.1,14.6,15.1,13.6,12.9,13,14.1
Flatbush and Midwood,314,22.8,20,19.3,18.3,18.3,17.3,15.8,15.6,16.2
Sheepshead Bay,315,20.4,18,17.4,15.9,16.4,14.5,13.6,14,14.9
Brownsville,316,21.1,20.9,20.1,19.3,19.3,18.8,17,16.8,16.7
East Flatbush,317,18.7,20.5,19.8,18.9,18.9,18.1,16.4,16.2,16.5
Flatlands and Canarsie,318,18.7,17.1,16.6,15.4,15.7,14.4,13.1,13.7,14.3
Long Island City and Astoria,401,20.6,21.2,20.6,20.1,20.3,19.5,18.4,17.6,17.3
Woodside and Sunnyside,402,38.7,21.9,21.2,20.8,20.7,21.1,20.7,19.2,20.2
Jackson Heights,403,16.8,21.7,21,20.3,20.5,19.1,17.6,17,16.9
Elmhurst and Corona,404,19.1,22.8,21.9,21.2,21.3,19.9,18.2,17.5,17.5
Ridgewood and Maspeth,405,16.9,20.1,19.4,18.8,18.8,18.5,17.1,16.5,17.5
